Factorisations Of Cunningham Numbers C-(6,n) = 6^n - 1

Canonical Representation Of Factorisations

1. Factorisations are given from smallest to largest factor, with a period '.'
   separating factors.
2. Multiplicity of factors is indicated with the carat '^' in ascii tradition
   for the text version of the tables but not the HTML version.
3. The backslash '\' is used to indicate continuation of a line, the decimal
   digit representation of the number does not stop but continues on the next
   line as if no break had occured. This can sometimes make for bad breaks, but
   such is life.

Notation Used In The Tables

1. #Fac is the number of (non distinct) prime factors in an expression.
2. A plussed #Fac means that more prime factors exist but they are unknown due
   to an unfactored composite in the expression.

========================================================================================================================

   n  #Fac  Factorisation
 186    14  5.7.31^2.43.5333.186187.290869963.659988451.842660004553.1358539033057.49744740983476472807.189491931189200\
            021056951.1830855782835393620827906093040965051783187521
 187    11  5.23.239.409.1123.30839.382229.3154757.4208612395681.6467774498519851224197542939036067237.2557416027956978\
            760642963940696149459371531995054030328765509447825027
 188    11  5.7.37.1693.930911329.45110836129.17821718159716147.1029538544148223697293.30585762365533687252981.70989960\
            31830910703530849.534577564460822791430647883899825591
 189    15  5.19.43.163.379.2467.55987.8387947.10644859.616332907.1822428931.5239858051.623067280651.292645031213683.35\
            2252375401535450648631882380604036787279429000462986049158593
 190    21  5^2.7.11.101.191.311.571.1787.1901.6271.825838991.2666738161.37260330001.48713705333.61671024221.6380730261\
            89.1298704628041.25425408247171.2995523312517361.3229504809106404383981
 191     6  5.383.120477626957.141173343133408897.172804791061171733536391399.75249767371116707634428546955861947767603\
            89436508992259852881065277159715456666540165676887
 192    24  5.7.13.17.31.37.43.97.193.353.1297.1697.2753.5953.8641.98801.145601.1678321.4709377.473896897.688490113.693\
            1400449.19854979505843329.63340286662973277706162278988150776663495577436161
 193     7  5.748132849.3759493321.230824001813.344929902064301.577701497837906594854943.235720836243183349711335031106\
            9592229112192349209316891646470119039886792128545253
 194    10  5.7.389.1747.1586365166597.7449708398813963.6571212276076854019883.18969653181299397175271.2957986725358598\
            8507046633033646287.8826499007361715764052964663075774479
 195    17  5^2.43.311.1171.1201.3433.11831.760891.1420901.3143401.49398961.1262014275211.22533649654910414281.52306527\
            4520717779891.795382366687653584971.1447099154953760086952015307990331
 196    17  5.7^3.29.37.197.421.55987.5030761.6527977.288628033.122694573317.600827908214213.762332681442053.9017961693\
            6384011.802354924671793395266725600744864562917483072464133108417
 197     4  5.2235557.10123252906683101.1746306565633108594571475643411194907462782313358152872429375704096347760806288\
            6746299031764064166669399231758382566178902534282211
 198    23  5.7.19.23.31.43.67.199.463.2467.16633.46441.72073.110881.3154757.18380539.18414001.51828151.127236649.22640\
            7819331.45686117391553.38167293140100433.2225208714917658550195227627861513418879
 199     7  5.797.191837.3693839.484493690172684383.2389106853487241752315685035579349880354989277451.21763887113341398\
            290990026102970140151433880215187046178128368610740515553
 200    24  5^3.7.11.37.41.101.241.311.1297.4801.5801.6781.224401.343801.18198701.22243201.40185601.68754507401.3655688\
            315536801.1748016735462726601.1006795824867486182291801.28398752673271140825020401
 201     6  5.43.3196645037857.904949028329910415467529.3023706637809542222940030043.1361772883091206766782128838375423\
            236044769818075378315585521894627630670076705132632814883
 202     8  5.7.607.82013.3866281.1275678077.2909467055506170519577044616632832452708657352232253233553601781.614561277\
            123903327309455926778985780630117744484485521069032496702063
 203     6  5.55987.1458188789.7369130657357778596659.432549126887388039664858367.7085674128508199235790214049146938581\
            0425671466661424166221373643548664353228558372719812968017
 204    25  5.7.13.31.37.43.97.103.239.307.409.919.1123.30839.190537.934117.1785001.12690943.927037099.980146969.996177\
            85207.23412002806867.8289713345361373993.12346985995648844989.2953728137900959095135649
 205     8  5^2.311.8648131.66571969781.28852807210022072371.1854850885886497427178961.13854638174912289904150868633673\
            163430846084302190465596932272615548696463090153351808638086901
 206     9  5.7.2473.5563.7211.160681.135025379.12767653355301160780822191431160569156710177181791578590824899905497.20\
            704743230318258100890022657208522727453596408722228548650415542999
 207    12  5.19.43.47.139.2467.3221.11731.399097.7505944891.1236385853432057889667843739281.12967950356237506524625257\
            589572120616290855806877047629652249726736719528602631785079368878205873
 208    20  5.7.17.37.53.313.937.1297.2341.3433.37571.98801.192193.760891.14090441.36265841.141365953.6291946695217.828\
            4434950526240125727017.98327998682892050307547688538841853424435944546993755800017
 209    10  5.23.191.3154757.18873119.414230477.638073026189.84125065520563.39547815403982363610457333838688241066157.3\
            740332261360244558756086670006736256763631522351531369572928560877647
 210    31  5^2.7^2.11.29.31.43.71.101.197.211.311.631.701.1171.1201.2311.9241.35281.55987.58171.71191.585131.1950271.3\
            7863211.1469029031.1822428931.2527867231.61921104791950322094158011.271613602977153099649378586566681
 211     6  5.35768449921.127491843407.22502477360820492307768713607212049.95386426775777642422106853865628552815453204\
            6177627.316405768432826434502246447605529100577755433867259915831
 212    13  5.7.37.107.13781.26713.97351567.33685364386033.357293834576449.71080464397105403.7091531088740602980647.175\
            436926004647658810244613736479118917.175787157418305877173455355755546870641
 213     5  5.43.22301660719710979.3546245297457217493590449191748546458005595187661976371.3278475136529634064266988263\
            36131054938461676556995234053638257938870937226907387644104752769
 214     6  5.7.643.5044140393054571.11277573027736036722713586016689525331842510247329583574661742579.2612677174115940\
            7024154726661022582007126551676422442131468770568230221685230103991
 215    10  5^2.173.311.431.1291.7383359.19660072438421.1048953903129961695599.1761056609541952467493882686215859960449\
            808974052469813809887556763881874991754289289623511450639922730492438351661
 216    30  5.7.13.19.31.37.43.73.97.109.163.433.541.577.1297.2467.3313.46441.55117.114967.591841.1678321.115963921.171\
            467713.883383463.623067280651.932461936453.2478750186961.8781208996949976153601.241282001155985351966017
 217     8  5.5333.55987.385227416351.49744740983476472807.26316013765873042806112463084693.126585539357866678513449649\
            3194757776649681.7580956159804488623890305012371373838101141217153351297
 218     6  5.7.9661979.30726149494277.42855656091880208870012451741752392192104225262820633109434962552795607.97346908\
            193625617781778470000484678372469642125201050088483502236579895347349
 219     9  5.43.1143619.44764549877.2436094907761.8439148071138817.138721648424756087.28201216936454879979568927996662\
            56974847683.2938088606095421167185780675090427740332239357953057651820512043
 220    23  5^2.7.11^2.23.37.101.241.311.6781.58477.70489.863017.1031141.3154757.51828151.3675127061.16336066781.423852\
